,MONTH,PORTFOLIO
409,2.2013,370379.9461781411
410,3.2013,388759.0150853667
411,4.2013,392992.4085507242
412,5.2013,395326.3545837744
413,6.2013,383657.943180437
414,7.2013,398057.2051046354
415,8.2013,390994.99171778635
416,9.2013,402489.8045168566
417,10.2013,414223.2271372547
418,11.2013,422677.9916026305
419,12.2013,426174.21738588763
420,1.2014,418970.8758513954
421,2.2014,430636.0529893713
422,3.2014,432235.4424251661
423,4.2014,434899.527503435
424,5.2014,451507.12677122
425,6.2014,458042.647068874
426,7.2014,460323.9145866856
427,8.2014,477414.1406115541
428,9.2014,486952.46666831983
429,10.2014,492591.13453832583
430,11.2014,504270.8567923091
431,12.2014,510294.187383899
432,1.2015,538200.7035836113
433,2.2015,573109.6486437537
434,3.2015,589507.5292957056
435,4.2015,579035.0227412399
436,5.2015,594158.9052684313
437,6.2015,569262.4662915121
438,7.2015,591340.1371659287
439,8.2015,540357.5403230368
440,9.2015,521250.5217695819
441,10.2015,572074.4858688429
442,11.2015,592928.827113423
443,12.2015,566311.4262359343
444,1.2016,531139.7589239314
445,2.2016,528945.1277366589
446,3.2016,540342.4408627237
447,4.2016,548200.2722971302
448,5.2016,563734.1485082897
449,6.2016,560241.0455477069
450,7.2016,583455.9282681893
451,8.2016,583146.4158318602
452,9.2016,584916.3764459832
453,10.2016,585063.8117368023
454,11.2016,610949.4413892826
455,12.2016,631285.4197243779
456,1.2017,633851.0255214134
457,2.2017,661268.8648523197
458,3.2017,662634.2654243117
459,4.2017,657956.9926052999
460,5.2017,654663.159622176
461,6.2017,646408.9162906017
462,7.2017,644308.7136598724
463,8.2017,640083.7059482038
464,9.2017,655658.9584084917
465,10.2017,677831.0145800945
466,11.2017,680381.1712696498
467,12.2017,681501.7996747183
468,1.2018,690936.0738049359
469,2.2018,675734.6699147108
470,3.2018,655526.5560189149
471,4.2018,676484.3524322386
472,5.2018,702961.4360600533
473,6.2018,705293.9678399415
474,7.2018,722644.1917527304
475,8.2018,737087.1115786346
476,9.2018,746172.836378711
477,10.2018,707449.6084257696
478,11.2018,713091.9772657207
479,12.2018,654002.0730866826
480,1.2019,702612.0776105807
481,2.2019,728435.301386683
482,3.2019,750037.5927777505
483,4.2019,777940.2117774726
484,5.2019,737765.409074799
485,6.2019,770670.4892220545
486,7.2019,790545.2778869766
487,8.2019,782669.1698504967
488,9.2019,810248.3088850408
489,10.2019,811328.294477754
490,11.2019,847098.2172101852
491,12.2019,853093.0700725439
492,1.202,862044.9879615811
493,2.202,794936.1905299303
494,3.202,691526.5063339513
495,4.202,772672.4783384514
496,5.202,791238.052051235
497,6.202,807827.4184431301
498,7.202,800256.2050175112
499,8.202,847225.1114056071
500,9.202,834437.7216414108
501,10.202,809795.0240421584
502,11.202,891826.5491864152
503,12.202,907754.5100611317
504,1.2021,908928.0479780763
505,2.2021,933516.3042428358
506,3.2021,997211.4422110937
507,4.2021,1012952.1962556022
508,5.2021,1017712.963475258
509,6.2021,1060545.4133189907
510,7.2021,1079071.1235433596
511,8.2021,1111391.7229965513
512,9.2021,1088948.7499337231
513,10.2021,1144199.46124292
514,11.2021,1147095.6201774129
515,12.2021,1200132.8494691537
516,1.2022,1154234.7728336942
517,2.2022,1120984.5227830315
518,3.2022,1162038.6816150257
519,4.2022,1122489.4700571173
520,5.2022,1105432.5449317675
521,6.2022,1041691.4282351147
522,7.2022,1145226.998874399
523,8.2022,1119326.6712987062
524,9.2022,1041873.292965253
525,10.2022,1098084.4067670451
526,11.2022,1122300.4639144146
527,12.2022,1045775.3651688246
528,1.2023,1102598.003860235
529,2.2023,1097996.5802399814
530,3.2023,1105472.423071591
531,4.2023,1114184.13562683
532,5.2023,1134000.4135106916
533,6.2023,1182443.7790329563
534,7.2023,1204925.527750183
535,8.2023,1193151.120844573
536,9.2023,1171459.961801251
537,10.2023,1135072.1001240478
538,11.2023,1206119.9385653643
539,12.2023,1251830.5140599692
540,1.2024,1291889.7648198581
541,2.2024,1348140.9479907942
542,3.2024,1393526.1735491143
543,4.2024,1353684.129764618
544,5.2024,1396803.1688175595
545,6.2024,1444925.5054873917
546,7.2024,1453881.9795968093
547,8.2024,1457652.1517397899
548,9.2024,1470086.9460859923
549,10.2024,1482692.852710973
550,11.2024,1597733.1437673648
551,12.2024,1582241.078709522
552,1.2025,1637569.5089066455
553,2.2025,1623203.500904138
554,3.2025,1493408.4785856872
555,4.2025,1433067.0243754718
556,5.2025,1522497.943379937
557,6.2025,1536754.2060197713
558,7.2025,1593913.2175270563
559,8.2025,1605940.2320774212
560,9.2025,1645993.012449133
561,10.2025,1706244.099758152
562,11.2025,1712069.1087726038
