,MONTH,MSCI World
279,4.2002,273942.7557449535
280,5.2002,263520.63543732936
281,6.2002,233097.58780569694
282,7.2002,217818.07606399013
283,8.2002,217280.55920370374
284,9.2002,193028.4196467665
285,10.2002,207367.49372135545
286,11.2002,217329.61351667243
287,12.2002,195928.98115142016
288,1.2003,184380.08771981878
289,2.2003,181924.41192371145
290,3.2003,179643.26664579267
291,4.2003,191616.6252791251
292,5.2003,190888.39741648638
293,6.2003,201079.88715735113
294,7.2003,207315.32620591525
295,8.2003,219546.63022908618
296,9.2003,207325.30196950072
297,10.2003,220374.5673828689
298,11.2003,216967.05303858354
299,12.2003,219152.02837329285
300,1.2004,227291.67899659334
301,2.2004,230665.00308743923
302,3.2004,232970.8580073387
303,4.2004,233690.24116589784
304,5.2004,231166.90481526146
305,6.2004,236947.05987861377
306,7.2004,231619.28754769778
307,8.2004,231454.27434588267
308,9.2004,230369.33613039623
309,10.2004,230128.98941788124
310,11.2004,232251.903017618
311,12.2004,235546.8589141879
312,1.2005,240794.47877448838
313,2.2005,244462.32304634535
314,3.2005,245334.81117642866
315,4.2005,240318.80091490728
316,5.2005,257205.51891781515
317,6.2005,264758.75088947284
318,7.2005,274184.5503890374
319,8.2005,274072.62301516184
320,9.2005,285034.03054100036
321,10.2005,278758.3027436227
322,11.2005,294463.04572393984
323,12.2005,300472.37494377967
324,1.2006,305774.67389947356
325,2.2006,311767.25727159105
326,3.2006,312794.5553839256
327,4.2006,311360.0336458934
328,5.2006,293188.84080146527
329,6.2006,296876.46194141114
330,7.2006,297665.69944799977
331,8.2006,303596.064559064
332,9.2006,312050.97987661965
333,10.2006,322786.79819799896
334,11.2006,318264.85242456314
335,12.2006,325675.2201325423
336,1.2007,335214.43005504116
337,2.2007,327182.9519168228
338,3.2007,330695.35988210683
339,4.2007,338195.8816425495
340,5.2007,351800.1872244272
341,6.2007,347942.50725278765
342,7.2007,335422.7228293414
343,8.2007,335417.23451290006
344,9.2007,339821.94468795025
345,10.2007,343947.60351012
346,11.2007,323071.03346436884
347,12.2007,319969.48831047677
348,1.2008,292756.4813083306
349,2.2008,285562.479595941
350,3.2008,271488.38099925406
351,4.2008,290958.8846809005
352,5.2008,296205.0558659638
353,6.2008,268354.0549863721
354,7.2008,264562.80401261034
355,8.2008,276553.97123469465
356,9.2008,251220.62281185726
357,10.2008,228461.54832359505
358,11.2008,214377.2032496768
359,12.2008,202536.32339520537
360,1.2009,200868.22566140443
361,2.2009,182960.3058022079
362,3.2009,187139.95384227386
363,4.2009,208850.5842269762
364,5.2009,214676.92824279753
365,6.2009,213364.1044259034
366,7.2009,231569.9176872925
367,8.2009,239059.39952615666
368,9.2009,242489.61439753338
369,10.2009,235848.86416364938
370,11.2009,242042.33117087075
371,12.2009,257141.38600680017
372,1.201,254479.8957314075
373,2.201,265798.16370809305
374,3.201,284364.76949879614
375,4.201,288107.66086824733
376,5.201,282047.3558968931
377,6.201,273376.1007920938
378,7.201,278567.0195589402
379,8.201,275726.47093396407
380,9.201,280257.05351153406
381,10.201,286519.2188968808
382,11.201,299059.8251993537
383,12.201,312502.48391786084
384,1.2011,312060.48558106285
385,2.2011,319871.3022833695
386,3.2011,308601.51718447165
387,4.2011,307774.5538015776
388,5.2011,311541.7167338382
389,6.2011,305370.6278715523
390,7.2011,304091.63426401693
391,8.2011,279149.49080813257
392,9.2011,273125.7407818837
393,10.2011,290857.35573002533
394,11.2011,296284.830070575
395,12.2011,307282.53723979346
396,1.2012,317098.3969895301
397,2.2012,326182.49027270614
398,3.2012,332728.07926718565
399,4.2012,332684.59365560586
400,5.2012,324041.50100834307
401,6.2012,335694.8988340277
402,7.2012,348680.22312429757
403,8.2012,348449.4741081449
404,9.2012,349389.7154113495
405,10.2012,345546.0312560703
406,11.2012,350359.3586618978
407,12.2012,351521.1113066079
408,1.2013,359921.41474620346
409,2.2013,372276.16860093386
410,3.2013,390836.3327158247
411,4.2013,395109.74590911844
412,5.2013,397464.7511134937
413,6.2013,385677.79519857775
414,7.2013,400218.5502181653
415,8.2013,393083.7647306908
416,9.2013,404691.11680336745
417,10.2013,416539.4592874634
418,11.2013,425076.4256912217
419,12.2013,428605.4090784498
420,1.2014,421328.0847000638
421,2.2014,433107.51833403495
422,3.2014,434720.7600683781
423,4.2014,437409.3024272358
424,5.2014,454180.4298407873
425,6.2014,460779.00981280487
426,7.2014,463080.8854152483
427,8.2014,480339.456064982
428,9.2014,489970.7958740919
429,10.2014,495663.5778038325
430,11.2014,507457.6754807755
431,12.2014,513538.9574937884
432,1.2015,541721.672301936
433,2.2015,576976.6846827982
434,3.2015,593535.9773048216
435,4.2015,582956.8371918962
436,5.2015,598229.4083717004
437,6.2015,573082.4316413801
438,7.2015,595378.1450475875
439,8.2015,543884.7649687289
440,9.2015,524584.9273512379
441,10.2015,575913.6874416432
442,11.2015,596973.8860186548
443,12.2015,570088.7713133846
444,1.2016,534563.8649595871
445,2.2016,532344.8139173315
446,3.2016,543853.2370896819
447,4.2016,551786.8995351992
448,5.2016,567473.167605724
449,6.2016,563942.6405627965
450,7.2016,587386.5263030017
451,8.2016,587071.3165753576
452,9.2016,588856.3086315166
453,10.2016,589002.5877283687
454,11.2016,615143.8336478077
455,12.2016,635680.0470545912
456,1.2017,638268.3966543764
457,2.2017,665956.7414878017
458,3.2017,667332.7185873076
459,4.2017,662605.5284596002
460,5.2017,659275.4022322751
461,6.2017,650935.358795196
462,7.2017,648810.5416028985
463,8.2017,644539.5409320515
464,9.2017,660266.3224856476
465,10.2017,682655.7355216226
466,11.2017,685227.4821560549
467,12.2017,686355.4185072284
468,1.2018,695879.714142251
469,2.2018,680522.3606880554
470,3.2018,660108.3235877565
471,4.2018,681270.7560776881
472,5.2018,708007.2425581503
473,6.2018,710358.2631927601
474,7.2018,727876.6050012313
475,8.2018,742458.4808281799
476,9.2018,751629.7042441573
477,10.2018,712514.9011663998
478,11.2018,718207.9323982401
479,12.2018,658522.8124347592
480,1.2019,707612.0267428133
481,2.2019,733686.8817013416
482,3.2019,755498.6792258462
483,4.2019,783673.6370481548
484,5.2019,743091.9064814516
485,6.2019,776319.2485953025
486,7.2019,796386.2953694918
487,8.2019,788425.5143130448
488,9.2019,816274.1868707793
489,10.2019,817359.4532341083
490,11.2019,853481.1318855945
491,12.2019,859531.1311644644
492,1.202,868567.6942419473
493,2.202,800784.6240671134
494,3.202,696338.4058914235
495,4.202,778290.9080614612
496,5.202,797039.6428933108
497,6.202,813792.452597024
498,7.202,806143.5592947324
499,8.202,853578.964035426
500,9.202,840661.8119906818
501,10.202,815771.0772488093
502,11.202,898618.9589292717
503,12.202,914703.6957407693
504,1.2021,915886.7895322052
505,2.2021,940718.2353168668
506,3.2021,1005046.7932508679
507,4.2021,1020942.4914969857
508,5.2021,1025748.643231035
509,6.2021,1069006.3810386916
510,7.2021,1087714.8073523117
511,8.2021,1120355.7361810252
512,9.2021,1097686.6666770966
513,10.2021,1153486.5465491975
514,11.2021,1156409.4665173388
515,12.2021,1209973.7796258943
516,1.2022,1163615.579115759
517,2.2022,1130031.408462943
518,3.2022,1171493.082529631
519,4.2022,1131546.8810822044
520,5.2022,1114317.1698852538
521,6.2022,1049936.6441634607
522,7.2022,1154501.1770367734
523,8.2022,1128337.393127979
524,9.2022,1050104.9596301368
525,10.2022,1106870.3635517892
526,11.2022,1131320.4929094512
527,12.2022,1054022.9241338545
528,1.2023,1111403.1018613598
529,2.2023,1106745.8381179522
530,3.2023,1114285.877982482
531,4.2023,1123073.9324976695
532,5.2023,1143076.9860244808
533,6.2023,1191992.31525125
534,7.2023,1214686.8791478276
535,8.2023,1202783.330344394
536,9.2023,1180863.6245339077
537,10.2023,1144100.5066427747
538,11.2023,1215845.1135082701
539,12.2023,1261999.5685190454
540,1.2024,1302446.2514529894
541,2.2024,1359246.3897662545
542,3.2024,1405072.0863755627
543,4.2024,1364819.9851909415
544,5.2024,1408356.771997177
545,6.2024,1456946.7289444427
546,7.2024,1465979.934052889
547,8.2024,1469775.0271499774
548,9.2024,1482321.1500781882
549,10.2024,1495040.442205965
550,11.2024,1611216.8719046446
551,12.2024,1595558.7029218248
552,1.2025,1651428.0346958812
553,2.2025,1636907.7126130646
554,3.2025,1505806.4618336693
555,4.2025,1444851.8206418334
556,5.2025,1535164.1061226916
557,6.2025,1549551.519554386
558,7.2025,1607269.7743167514
559,8.2025,1619405.6135591865
560,9.2025,1659846.85213875
561,10.2025,1720688.1559539954
562,11.2025,1723958.3958952345
